ID,site name,latitude,longitude,country
bw_ngamiland_kavimba,"BW Ngamiland Kavimba",-18.107600,24.637000,"Botswana"
bw_ngamiland_maun_kalahari_transect,"BW Ngamiland Maun Kalahari Transect",-19.923000,23.594000,"Botswana"
bw_ngamiland_nxaraga,"BW Ngamiland Nxaraga",-19.548056,23.179167,"Botswana"
bw_ngamilandeast_maun_tower,"BW Ngamiland East Maun Tower",-19.900000,23.550000,"Botswana"
bw_north-westdistrict_maun_floodplain,"BW North West District Maun Floodplain",-19.607592,23.286931,"Botswana"
bw_north-westdistrict_maun_mopane_woodland,"BW North West District Maun Mopane Woodland",-19.916500,23.560333,"Botswana"
by_minsk_nasb,"BY Minsk nasb",53.920000,27.601000,"Belarus"
ca_alberta_alberta__mixed_grass_prairie,"CA Alberta Mixed Grass Prairie",49.709300,-112.940200,"Canada"
ca_alberta_fort_mckay,"CA Alberta Fort McKay",57.183500,-111.640000,"Canada"
ca_alberta_fort_mcmurray,"CA Alberta Fort McMurray",56.752306,-111.476139,"Canada"
ca_alberta_mattheis_ranch_e3_south,"CA Alberta Mattheis Ranch E3 South",50.867100,-111.904500,"Canada"
ca_alberta_mattheis_ranch_e5_north,"CA Alberta Mattheis Ranch E5 North",50.905600,-111.882300,"Canada"
ca_alberta_peace_river,"CA Alberta Peace River",56.234167,-117.552564,"Canada"
ca_alberta_suffield,"CA Alberta Suffield",50.281550,-111.130771,"Canada"
